user_id,max_streak_length
181776,31
242014,31
244135,31
293843,31
427200,31
1200,30
16668,30
39164,30
59568,30
149472,30
149601,30
159370,30
173105,30
173561,30
176396,30
210670,30
216478,30
219488,30
223510,30
230273,30
230894,30
235095,30
242698,30
254713,30
255296,30
258321,30
260980,30
262580,30
264146,30
265685,30
272510,30
275132,30
275165,30
278459,30
280853,30
284482,30
291015,30
291487,30
291769,30
291789,30
293951,30
295114,30
297248,30
297580,30
303504,30
314918,30
316270,30
324946,30
333749,30
335656,30
343001,30
348546,30
355575,30
382055,30
384432,30
407874,30
408677,30
414419,30
421330,30
423874,30
425458,30
425522,30
435385,30
438873,30
442476,30
453915,30
9845,29
165374,29
234437,29
263546,29
272063,29
285352,29
291975,29
293592,29
296613,29
297475,29
307003,29
316337,29
328067,29
330074,29
337556,29
350429,29
351183,29
353507,29
365107,29
377862,29
393840,29
407176,29
448142,29
453762,29
454622,29
27160,28
147038,28
185851,28
202070,28
228202,28
261758,28
286826,28
310446,28
337144,28
342007,28
348448,28
400441,28
408002,28
433475,28
454010,28
454069,28
173584,27
211129,27
272186,27
280148,27
282739,27
300045,27
308287,27
316093,27
336447,27
420093,27
454557,27
455085,27
30273,26
179203,26
254372,26
263579,26
279562,26
454788,26
271257,25
274630,25
289814,25
313912,25
335556,25
341865,25
364616,25
365019,25
380712,25
424313,25
435646,25
452457,25
452909,25
453252,25
454549,25
454913,25
105156,24
157144,24
161693,24
253829,24
260345,24
271154,24
282601,24
292496,24
292641,24
378517,24
389726,24
397038,24
423998,24
449271,24
1562,23
178842,23
188716,23
251329,23
275045,23
315520,23
330297,23
453988,23
234162,22
278851,22
282977,22
291551,22
292611,22
296402,22
341941,22
377892,22
394037,22
401744,22
452448,22
454777,22
175519,21
226612,21
297035,21
328665,21
345468,21
391777,21
453798,21
242515,20
253772,20
288210,20
294343,20
302585,20
343832,20
347634,20
395797,20
396484,20
414067,20
447299,20
194043,19
212463,19
244031,19
263293,19
275189,19
275449,19
277353,19
280613,19
283029,19
295567,19
310297,19
316003,19
343604,19
344832,19
350839,19
379252,19
411894,19
433431,19
439498,19
449130,19
453334,19
455331,19
457140,19
159186,18
162406,18
190803,18
218048,18
258201,18
261895,18
267916,18
274861,18
277766,18
282591,18
293600,18
293880,18
296461,18
297781,18
299962,18
313884,18
337022,18
347997,18
374333,18
411668,18
416364,18
433705,18
439999,18
453715,18
1374,17
1652,17
3577,17
197262,17
230052,17
234889,17
235168,17
244886,17
248647,17
263438,17
273060,17
290737,17
293976,17
311170,17
325958,17
333166,17
343468,17
349988,17
380721,17
383686,17
407948,17
418364,17
454023,17
455216,17
151404,16
157784,16
161338,16
180288,16
255282,16
271761,16
281022,16
283636,16
292491,16
292564,16
296813,16
318257,16
330071,16
333566,16
337395,16
340331,16
345771,16
347232,16
348227,16
393366,16
410772,16
426151,16
431946,16
444259,16
453530,16
454123,16
455233,16
457598,16
3938,15
4231,15
5790,15
194135,15
196154,15
209054,15
224264,15
236414,15
248969,15
261552,15
268926,15
277322,15
278890,15
280134,15
288284,15
288909,15
292538,15
309553,15
338952,15
357142,15
360436,15
388890,15
396741,15
396948,15
399678,15
402852,15
419922,15
432812,15
434592,15
453463,15
453912,15
453932,15
454362,15
454504,15
455034,15
456777,15
457784,15
2332,14
25813,14
149787,14
160274,14
183419,14
193456,14
252678,14
260295,14
268689,14
273235,14
274825,14
286190,14
289270,14
291183,14
291586,14
293303,14
294590,14
295823,14
296995,14
300127,14
308635,14
310728,14
320597,14
326241,14
334688,14
338572,14
358274,14
394085,14
397349,14
404395,14
407928,14
431234,14
446309,14
454098,14
454697,14
455138,14
455156,14
457199,14
1521,13
156038,13
171349,13
182512,13
183867,13
191589,13
254672,13
254720,13
260813,13
261171,13
271015,13
273303,13
275457,13
275583,13
278753,13
282604,13
288691,13
289232,13
292436,13
292819,13
294314,13
294338,13
296812,13
300945,13
307177,13
310633,13
315265,13
332032,13
351701,13
371053,13
380876,13
384203,13
399844,13
401111,13
401369,13
419659,13
421286,13
430754,13
431440,13
431843,13
438715,13
441853,13
453433,13
453556,13
453885,13
455328,13
455636,13
456070,13
456676,13
457690,13
458078,13
2545,12
6819,12
9305,12
53434,12
89305,12
198179,12
233619,12
255220,12
266766,12
269959,12
272029,12
272596,12
277864,12
282036,12
285397,12
290242,12
290353,12
291606,12
291691,12
292355,12
293083,12
294682,12
296192,12
297106,12
314217,12
317252,12
320922,12
324068,12
324862,12
327618,12
330146,12
339247,12
339333,12
343646,12
360022,12
364831,12
376511,12
382668,12
389727,12
389865,12
389942,12
391093,12
397872,12
404846,12
422016,12
425525,12
431105,12
431429,12
443104,12
451363,12
452490,12
453029,12
454467,12
454532,12
1306,11
7106,11
11808,11
12930,11
40867,11
116991,11
137389,11
144023,11
144682,11
146603,11
151694,11
186186,11
192722,11
211603,11
233324,11
249905,11
254605,11
256779,11
262641,11
266340,11
268287,11
270607,11
271519,11
275215,11
283206,11
283824,11
286802,11
287737,11
290746,11
291264,11
291528,11
292006,11
292350,11
293936,11
294193,11
294227,11
294948,11
295756,11
301045,11
301081,11
312359,11
342567,11
343192,11
363037,11
402461,11
410495,11
424308,11
429978,11
439052,11
440821,11
444511,11
450806,11
453163,11
453287,11
453619,11
453897,11
454073,11
454401,11
454952,11
455142,11
456575,11
457290,11
6950,10
7620,10
16647,10
21603,10
24664,10
42236,10
155640,10
186061,10
261390,10
262634,10
265588,10
270606,10
272923,10
277410,10
279217,10
288232,10
289005,10
292657,10
293682,10
296124,10
301284,10
306255,10
320002,10
320162,10
321420,10
327310,10
344346,10
351808,10
370448,10
391565,10
391818,10
392716,10
396602,10
402487,10
407557,10
411827,10
414667,10
418009,10
420705,10
422172,10
424291,10
427348,10
431218,10
431410,10
431802,10
433183,10
435680,10
442306,10
442417,10
447775,10
449308,10
450604,10
450771,10
452653,10
452880,10
453388,10
453790,10
453883,10
454276,10
454363,10
454488,10
454984,10
456091,10
456578,10
458964,10
1561,9
4016,9
16979,9
35260,9
55809,9
145813,9
147087,9
208408,9
255668,9
260465,9
261682,9
261810,9
263519,9
268516,9
270671,9
274877,9
279735,9
282121,9
282174,9
282304,9
282507,9
285322,9
285776,9
290303,9
291686,9
291990,9
292033,9
293005,9
293539,9
296103,9
296473,9
299794,9
302781,9
318419,9
322483,9
336864,9
340935,9
347344,9
350508,9
351766,9
360857,9
367591,9
391161,9
396651,9
401773,9
401906,9
409880,9
412305,9
417027,9
420963,9
422203,9
427412,9
428938,9
438474,9
441154,9
441164,9
450871,9
450876,9
451029,9
453174,9
454403,9
454538,9
455025,9
456137,9
457848,9
457928,9
458298,9
458634,9
458882,9
841,8
908,8
2824,8
12623,8
18378,8
22887,8
39492,8
39563,8
129608,8
137618,8
157791,8
160493,8
177134,8
182591,8
208451,8
213598,8
224777,8
229699,8
243941,8
248535,8
254310,8
255123,8
255257,8
261693,8
264425,8
270930,8
273136,8
274572,8
277084,8
277866,8
282408,8
283691,8
285283,8
285504,8
287548,8
288206,8
288214,8
288223,8
288584,8
292643,8
292650,8
294560,8
294907,8
295863,8
296134,8
296997,8
301687,8
306292,8
307741,8
310878,8
315711,8
322943,8
326096,8
328788,8
331534,8
340758,8
343772,8
344968,8
345248,8
349663,8
360501,8
368364,8
396442,8
398107,8
400205,8
400491,8
401782,8
406201,8
416270,8
421345,8
422579,8
424743,8
437482,8
440401,8
442176,8
449716,8
452764,8
453114,8
453955,8
454029,8
454106,8
455087,8
455223,8
455294,8
455369,8
455545,8
456438,8
456585,8
456690,8
456862,8
458025,8
459369,8
1901,7
2817,7
3984,7
10242,7
14825,7
21801,7
25507,7
73520,7
84641,7
89036,7
113542,7
145754,7
165026,7
175064,7
175156,7
175300,7
180088,7
183901,7
197346,7
206754,7
216394,7
218699,7
239680,7
241036,7
244830,7
249503,7
254467,7
255016,7
260910,7
260916,7
261132,7
261674,7
262459,7
263338,7
268799,7
269373,7
271950,7
275277,7
275422,7
276104,7
276998,7
279402,7
280345,7
280548,7
282839,7
286834,7
287158,7
288208,7
289260,7
291462,7
291653,7
292596,7
293858,7
295973,7
296105,7
296127,7
296291,7
296311,7
296892,7
297008,7
297375,7
299051,7
309089,7
309205,7
310260,7
312858,7
313395,7
313452,7
314554,7
315296,7
328180,7
330675,7
334108,7
336509,7
337132,7
342059,7
343379,7
344453,7
344935,7
348946,7
355424,7
359142,7
359890,7
365753,7
372073,7
374751,7
378891,7
383391,7
384278,7
393315,7
397803,7
399991,7
405455,7
419038,7
424451,7
430899,7
436298,7
440804,7
442538,7
443420,7
444721,7
448308,7
452756,7
452931,7
453420,7
453595,7
453608,7
454904,7
454935,7
454941,7
454982,7
455078,7
455355,7
455587,7
455748,7
456259,7
457712,7
458153,7
458163,7
458228,7
458534,7
458550,7
459618,7
459804,7
460179,7
460279,7
838,6
2185,6
2248,6
2555,6
6971,6
9446,6
29758,6
113425,6
123128,6
125191,6
143002,6
145472,6
147579,6
149815,6
154458,6
157218,6
164842,6
166225,6
175955,6
182414,6
185764,6
209515,6
217593,6
224800,6
227538,6
252685,6
254092,6
260891,6
261393,6
262761,6
266001,6
268357,6
269519,6
269660,6
270738,6
270993,6
272755,6
273960,6
274532,6
275093,6
275430,6
275445,6
278496,6
282751,6
284438,6
284856,6
290383,6
291402,6
292191,6
292475,6
292574,6
292815,6
293510,6
294213,6
296089,6
296203,6
296237,6
296440,6
296942,6
298058,6
298154,6
299199,6
301042,6
308055,6
308189,6
308736,6
315136,6
322546,6
324643,6
325393,6
335586,6
337062,6
341335,6
343534,6
343952,6
346914,6
348639,6
352781,6
354822,6
357357,6
362422,6
379083,6
393468,6
398502,6
406152,6
410450,6
414327,6
424697,6
424720,6
428264,6
436310,6
439132,6
439509,6
443611,6
451381,6
452695,6
453036,6
453062,6
453072,6
453579,6
453711,6
453895,6
454129,6
454261,6
454393,6
454565,6
454591,6
454817,6
455007,6
455076,6
455088,6
455101,6
455209,6
455247,6
455375,6
455964,6
456111,6
456485,6
456934,6
457086,6
457185,6
457656,6
457811,6
458045,6
458799,6
459012,6
459852,6
31,5
1930,5
1977,5
2723,5
4435,5
6053,5
6808,5
7955,5
10905,5
17598,5
18314,5
18533,5
24687,5
24762,5
27180,5
77476,5
128082,5
145793,5
155342,5
156182,5
156183,5
156429,5
159071,5
164442,5
165955,5
166070,5
171339,5
179103,5
181440,5
195830,5
202661,5
210318,5
213887,5
216760,5
228262,5
235980,5
236455,5
240591,5
242776,5
242790,5
245137,5
255396,5
258843,5
258933,5
261449,5
261972,5
262112,5
263783,5
267064,5
268331,5
268584,5
270135,5
270675,5
272123,5
272452,5
274127,5
275754,5
277609,5
278701,5
279352,5
280913,5
281522,5
284015,5
286073,5
286273,5
287916,5
289538,5
291566,5
291878,5
292385,5
292595,5
293859,5
293898,5
294061,5
294776,5
295323,5
296107,5
296697,5
298019,5
304770,5
310279,5
310861,5
317248,5
318366,5
320719,5
323543,5
327200,5
328836,5
333832,5
337349,5
337417,5
340250,5
340602,5
343190,5
343516,5
353325,5
353462,5
354147,5
354722,5
356249,5
363480,5
371076,5
380440,5
386853,5
388919,5
392756,5
393985,5
394140,5
394183,5
395377,5
396981,5
397355,5
401424,5
402610,5
404004,5
408873,5
412319,5
416166,5
428123,5
429700,5
430233,5
431787,5
434432,5
434664,5
436425,5
440307,5
441628,5
443100,5
445438,5
446340,5
448221,5
448899,5
449491,5
450969,5
452513,5
453104,5
453213,5
453247,5
453370,5
454370,5
454423,5
454431,5
454659,5
454781,5
454953,5
455114,5
455287,5
455378,5
455664,5
456229,5
456699,5
456705,5
456969,5
457421,5
457579,5
458031,5
458666,5
459433,5
459461,5
459483,5
1482,4
2295,4
2397,4
4320,4
6976,4
10505,4
12205,4
18396,4
100706,4
102378,4
146220,4
146968,4
149576,4
156753,4
161785,4
163143,4
166675,4
168573,4
171275,4
171402,4
171464,4
171760,4
175978,4
178111,4
180021,4
182897,4
183924,4
184370,4
186915,4
188136,4
192115,4
196733,4
198890,4
199756,4
216694,4
221756,4
221898,4
230140,4
238231,4
238800,4
240194,4
242205,4
245451,4
247838,4
255342,4
258800,4
259657,4
260646,4
261813,4
263648,4
265130,4
265758,4
269016,4
269040,4
271603,4
275092,4
275637,4
275786,4
277066,4
280000,4
280233,4
280372,4
281742,4
282283,4
282573,4
282986,4
283005,4
285749,4
288325,4
288834,4
289370,4
290843,4
291169,4
291401,4
291577,4
291701,4
291804,4
291875,4
291881,4
292048,4
292121,4
292403,4
292619,4
292625,4
293214,4
296396,4
296659,4
296706,4
296968,4
302133,4
303148,4
304546,4
311631,4
313493,4
313639,4
318260,4
319687,4
324160,4
324233,4
324551,4
329828,4
331430,4
332880,4
334389,4
336022,4
348497,4
353058,4
353381,4
354167,4
356697,4
357325,4
359670,4
361294,4
361555,4
362685,4
368672,4
371574,4
371634,4
375324,4
377004,4
377304,4
377333,4
382846,4
387930,4
389478,4
390192,4
392285,4
393372,4
394428,4
400820,4
400939,4
401067,4
403898,4
405140,4
408566,4
409770,4
410991,4
416968,4
417926,4
421630,4
423181,4
423194,4
425038,4
428402,4
429826,4
430977,4
431116,4
431118,4
433581,4
434887,4
437150,4
437517,4
437817,4
439142,4
440551,4
441569,4
443630,4
444288,4
445128,4
445891,4
446495,4
447071,4
447204,4
447640,4
447945,4
448646,4
448993,4
449931,4
450204,4
451166,4
452536,4
453051,4
453166,4
453194,4
453265,4
453423,4
453648,4
453682,4
453683,4
454062,4
454132,4
454142,4
454204,4
454258,4
454424,4
454478,4
454587,4
454661,4
454683,4
454736,4
454754,4
454840,4
455198,4
455239,4
455320,4
455321,4
455874,4
456110,4
456261,4
456539,4
456588,4
456866,4
456987,4
457300,4
457655,4
457787,4
458034,4
458070,4
458249,4
458450,4
458832,4
458853,4
458989,4
459600,4
459615,4
460285,4
460950,4
461063,4
461171,4
461182,4
